experiment,strategy,n_episodes,message_adherence_rate,action_adherence_rate,combined_adherence_rate,target_detection_rate,target_perception_match_rate,coding_method
negotiation,fake_anger,60,0.633333,0.966667,0.633333,0.729323,0.206767,automated lexical and trajectory proxy; not human-coded
negotiation,fake_confidence,60,0.333333,1.0,0.333333,0.220141,0.035129,automated lexical and trajectory proxy; not human-coded
negotiation,fake_disappointment,60,0.633333,0.9,0.566667,0.527311,0.756303,automated lexical and trajectory proxy; not human-coded
negotiation,fake_urgency,60,0.983333,0.8,0.783333,0.782796,0.705376,automated lexical and trajectory proxy; not human-coded
negotiation,neutral_control,60,0.65,0.883333,0.55,0.156863,0.468137,automated lexical and trajectory proxy; not human-coded
trust,fake_anger,48,0.729167,0.666667,0.479167,0.25,,automated lexical and trajectory proxy; not human-coded
trust,fake_disappointment,48,1.0,1.0,1.0,0.016667,,automated lexical and trajectory proxy; not human-coded
trust,fake_guilt,48,0.916667,0.541667,0.541667,0.158333,,automated lexical and trajectory proxy; not human-coded
trust,false_reliability,48,1.0,0.270833,0.270833,0.058333,,automated lexical and trajectory proxy; not human-coded
trust,neutral_control,48,1.0,0.9375,0.9375,0.0,,automated lexical and trajectory proxy; not human-coded
trust,reality_reframing,48,0.604167,0.708333,0.333333,0.004167,,automated lexical and trajectory proxy; not human-coded
trust,stable_reassurance,48,1.0,0.708333,0.708333,0.004167,,automated lexical and trajectory proxy; not human-coded
coalition,coalition_scarcity,45,1.0,1.0,1.0,0.233333,0.005556,"automated lexical, targeting and target-belief proxy; not human-coded"
coalition,competence_signaling,45,1.0,1.0,1.0,0.016667,0.0,"automated lexical, targeting and target-belief proxy; not human-coded"
coalition,double_commitment,45,1.0,1.0,1.0,0.005556,0.0,"automated lexical, targeting and target-belief proxy; not human-coded"
coalition,exclusive_reassurance,45,1.0,1.0,1.0,0.016667,0.444444,"automated lexical, targeting and target-belief proxy; not human-coded"
coalition,fake_anger,45,0.777778,1.0,0.777778,0.561111,0.577778,"automated lexical, targeting and target-belief proxy; not human-coded"
coalition,fake_disappointment,45,0.955556,1.0,0.955556,0.227778,0.133333,"automated lexical, targeting and target-belief proxy; not human-coded"
coalition,neutral_control,45,1.0,1.0,1.0,0.0,0.038889,"automated lexical, targeting and target-belief proxy; not human-coded"
coalition,reputation_reframing,45,0.288889,1.0,0.288889,0.238889,0.027778,"automated lexical, targeting and target-belief proxy; not human-coded"
